code,label,probable_cause,operator_action,severity
E-101,"Spindle motor overcurrent","Mechanical binding or a dull cutting tool drawing excess current","Stop the cycle and inspect the spindle and tool for obstruction before restarting",critical
E-102,"Spindle motor overtemperature","Prolonged heavy-duty cycle or blocked cooling airflow","Let the spindle cool down and clear the cooling vents",warning
E-103,"Servo drive following error","Axis cannot keep up with the commanded motion because of load or an obstruction","Clear any obstruction on the axis and re-home the machine",critical
E-104,"Servo drive bus undervoltage","Mains supply dip or a loose power connection at the drive","Check the incoming supply and the drive power wiring",warning
E-105,"Servo drive bus overvoltage","Regeneration during rapid deceleration with a faulty braking resistor","Inspect the braking resistor and its wiring",warning
E-106,"Motor encoder signal lost","Damaged encoder cable or connector on the motor","Reseat or replace the motor encoder cable",critical
E-107,"Axis motion timeout","The move did not complete within the expected time","Check for mechanical drag and verify the axis is free to move",warning
E-108,"Holding brake not releasing","Brake power supply fault or a worn holding brake","Do not force the axis; call maintenance to check the holding brake",critical
E-109,"Spindle fails to reach target speed","Worn drive belt or a failing spindle bearing","Inspect the spindle drive belt and bearings",warning
E-110,"Drive cooling fan failure","Fan clogged with dust or at the end of its life","Replace the drive cooling fan",warning
E-201,"Part-present sensor no signal","Missing part or a misaligned photoelectric sensor","Confirm a part is loaded and realign the sensor",warning
E-202,"Clamp-closed sensor not detected","Clamp not fully closed or a faulty proximity switch","Check the clamp movement and the proximity switch gap",warning
E-203,"Tool-length probe no touch","Probe stylus damaged or contaminated","Clean or replace the tool-length probe stylus",warning
E-204,"Vibration sensor over range","Excessive process vibration or a loose sensor mount","Stop and inspect the tool and workholding for looseness",critical
E-205,"Temperature sensor open circuit","Broken thermocouple or a disconnected sensor lead","Reconnect or replace the temperature sensor",warning
E-206,"Temperature sensor short circuit","Pinched or chafed sensor wiring","Inspect and repair the temperature sensor wiring",warning
E-207,"Pressure transducer out of range","Failed transducer or a blocked sensing port","Verify the real pressure with a gauge and replace the transducer if needed",warning
E-208,"Linear scale read error","Contamination on the glass scale or the read head","Clean the linear scale and the read head",warning
E-209,"Proximity sensor always on","Metal debris on the sensor face or a wiring short","Clean the sensor face and check its wiring",info
E-210,"Light curtain lens contamination","Dust or an oil film on the light curtain optics","Clean the light curtain lenses at the next stop",info
E-301,"Supply air pressure low","Compressed air supply below setpoint or a leak upstream","Check the shop air supply and the inlet regulator",warning
E-302,"Supply air pressure lost","Main air valve closed or a major line rupture","Stop work and restore the compressed air supply",critical
E-303,"Clamp cylinder fails to extend","Blocked flow control or a failed solenoid valve","Check the clamp solenoid valve and the flow controls",warning
E-304,"Clamp cylinder fails to retract","Seized cylinder or an exhaust restriction","Inspect the clamp cylinder and its exhaust muffler",warning
E-305,"Air dryer dew point high","Saturated desiccant or an air dryer fault","Have the air dryer serviced",warning
